                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.88384,                0.72613,                0.99008,                0.92276,                0.94047,                0.95733,                0.67822,                 1.0387,                 0.6453,                 1.0706,             0.00015822,             0.00015822,             0.00015822
                     70,                 0.8791,                0.73389,                0.99454,                 0.9333,                0.92522,                0.96122,                0.67987,                 1.0326,                0.62839,                 1.0707,             0.00015755,             0.00015755,             0.00015755
                     71,                 0.8848,                0.73345,                 1.0026,                 0.9367,                  0.934,                0.95977,                0.67978,                 1.0394,                0.64265,                 1.0699,             0.00015688,             0.00015688,             0.00015688
                     72,                0.87413,                0.71952,                0.99685,                0.93188,                0.93468,                 0.9603,                0.68406,                 1.0249,                0.63458,                 1.0672,              0.0001562,              0.0001562,              0.0001562
                     73,                0.88485,                0.71571,                0.99613,                0.91762,                 0.9374,                0.95354,                0.67475,                 1.0443,                0.63971,                 1.0759,             0.00015553,             0.00015553,             0.00015553
                     74,                0.87895,                0.71944,                 1.0021,                0.92521,                0.93096,                0.95708,                0.67976,                 1.0428,                0.63454,                 1.0717,             0.00015486,             0.00015486,             0.00015486
                     75,                0.87276,                0.71118,                0.98941,                0.92822,                0.93194,                0.95566,                0.67779,                 1.0386,                0.63583,                 1.0694,             0.00015418,             0.00015418,             0.00015418
                     76,                0.87736,                0.71423,                0.99016,                0.93335,                0.93919,                0.96262,                0.68629,                 1.0306,                 0.6161,                 1.0635,             0.00015351,             0.00015351,             0.00015351
                     77,                0.87878,                 0.7142,                0.99106,                0.91597,                0.93741,                0.95876,                0.68367,                 1.0191,                0.62815,                 1.0619,             0.00015284,             0.00015284,             0.00015284
                     78,                0.86367,                0.70524,                0.99456,                0.93623,                0.93281,                0.95934,                0.68228,                  1.039,                0.62195,                  1.073,             0.00015216,             0.00015216,             0.00015216
                     79,                 0.8777,                0.70955,                0.98652,                0.92517,                 0.9325,                0.95542,                0.68126,                 1.0245,                0.62468,                 1.0686,             0.00015149,             0.00015149,             0.00015149
                     80,                0.85741,                0.69768,                0.98913,                0.93054,                0.93495,                0.96092,                0.69182,                 1.0105,                0.61906,                 1.0548,             0.00015082,             0.00015082,             0.00015082
                     81,                0.87693,                0.70892,                0.99335,                0.92704,                0.94148,                0.96064,                0.68444,                 1.0373,                0.62063,                 1.0691,             0.00015014,             0.00015014,             0.00015014
                     82,                0.86739,                0.70952,                0.99337,                0.93393,                0.92903,                0.96112,                0.68802,                 1.0219,                0.61579,                 1.0672,             0.00014947,             0.00014947,             0.00014947
                     83,                0.87587,                0.69598,                0.99114,                0.93458,                0.93024,                0.95971,                0.68544,                 1.0251,                0.61248,                 1.0665,              0.0001488,              0.0001488,              0.0001488
                     84,                0.86318,                0.69153,                0.98594,                0.92618,                0.93384,                0.95835,                0.68397,                 1.0348,                0.61593,                 1.0729,             0.00014812,             0.00014812,             0.00014812
                     85,                0.84792,                0.68344,                0.98039,                0.92895,                0.93049,                0.95492,                0.68266,                 1.0345,                0.62378,                  1.071,             0.00014745,             0.00014745,             0.00014745
                     86,                0.85457,                0.68087,                0.98064,                0.92976,                0.92877,                0.95745,                0.68849,                 1.0163,                 0.6141,                  1.066,             0.00014678,             0.00014678,             0.00014678
