                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.1991,                 1.3153,                 1.1154,                0.81258,                0.82618,                0.86937,                0.59903,                 1.1169,                0.93349,                 1.0692,             0.00017746,             0.00017746,             0.00017746
                     48,                 1.2013,                 1.3282,                 1.1137,                0.83215,                0.82369,                0.86909,                0.59987,                   1.12,                0.92396,                 1.0721,             0.00017688,             0.00017688,             0.00017688
                     49,                 1.1823,                  1.302,                 1.1172,                0.82513,                0.81918,                0.87028,                0.59994,                 1.1064,                0.92352,                 1.0651,              0.0001763,              0.0001763,              0.0001763
                     50,                  1.177,                  1.299,                 1.1087,                0.83449,                0.82602,                0.87421,                0.60405,                 1.1042,                0.92246,                 1.0671,             0.00017573,             0.00017573,             0.00017573
                     51,                 1.1836,                 1.2891,                 1.1123,                0.84742,                 0.8272,                0.88108,                0.60667,                 1.1081,                0.90523,                  1.068,             0.00017515,             0.00017515,             0.00017515
                     52,                 1.1782,                 1.2904,                 1.1135,                0.84154,                0.83554,                0.88039,                0.60885,                 1.0985,                0.92251,                 1.0682,             0.00017457,             0.00017457,             0.00017457
                     53,                 1.1763,                 1.2622,                 1.1072,                 0.8327,                0.83065,                0.87727,                0.60763,                 1.1136,                0.89893,                 1.0663,             0.00017399,             0.00017399,             0.00017399
                     54,                 1.1855,                 1.2864,                 1.1147,                0.85484,                0.81748,                0.87882,                0.60738,                 1.1079,                0.90491,                 1.0609,             0.00017342,             0.00017342,             0.00017342
                     55,                 1.1758,                 1.2611,                 1.1065,                0.82854,                0.84098,                0.87764,                0.60575,                 1.1231,                0.91773,                 1.0764,             0.00017284,             0.00017284,             0.00017284
                     56,                 1.1663,                 1.2645,                 1.1093,                0.85224,                0.82007,                0.87921,                0.60714,                 1.1099,                0.90619,                 1.0666,             0.00017226,             0.00017226,             0.00017226
                     57,                 1.1705,                 1.2444,                 1.1067,                0.83991,                0.83522,                0.87962,                0.60936,                  1.104,                0.90542,                 1.0674,             0.00017169,             0.00017169,             0.00017169
                     58,                 1.1556,                 1.2249,                  1.092,                0.84946,                0.82786,                0.88472,                0.61623,                 1.0945,                0.87702,                 1.0591,             0.00017111,             0.00017111,             0.00017111
                     59,                 1.1589,                 1.2423,                 1.0997,                0.84774,                0.83604,                0.88454,                0.61285,                 1.1006,                0.88288,                 1.0612,             0.00017053,             0.00017053,             0.00017053
                     60,                 1.1679,                 1.2455,                 1.1034,                0.85329,                0.84652,                0.88636,                0.61215,                 1.1021,                0.88459,                 1.0597,             0.00016996,             0.00016996,             0.00016996
                     61,                 1.1668,                 1.2251,                 1.1033,                0.84867,                0.83585,                0.88575,                0.61365,                 1.0991,                0.88586,                 1.0676,             0.00016938,             0.00016938,             0.00016938
                     62,                   1.17,                 1.2307,                 1.1054,                0.84152,                0.83572,                0.88015,                0.61116,                 1.0996,                0.88327,                 1.0604,              0.0001688,              0.0001688,              0.0001688
                     63,                 1.1638,                 1.2151,                 1.0976,                0.83997,                0.84565,                0.88214,                0.61214,                 1.1032,                0.89144,                 1.0629,             0.00016822,             0.00016822,             0.00016822
                     64,                 1.1375,                 1.1982,                 1.0898,                0.85501,                0.83418,                0.88661,                0.61903,                 1.0972,                0.86599,                 1.0571,             0.00016765,             0.00016765,             0.00016765
                     65,                 1.1602,                 1.2279,                 1.1014,                0.86293,                0.83592,                0.89044,                0.62277,                 1.0968,                0.86612,                  1.064,             0.00016707,             0.00016707,             0.00016707
                     66,                 1.1386,                 1.1892,                 1.0949,                0.86525,                0.84276,                0.89463,                0.61985,                 1.1012,                0.84978,                 1.0659,             0.00016649,             0.00016649,             0.00016649
                     67,                 1.1644,                 1.2141,                 1.1027,                0.87582,                0.83864,                0.89438,                0.62096,                 1.0969,                0.86279,                  1.062,             0.00016592,             0.00016592,             0.00016592
                     68,                 1.1421,                 1.1859,                 1.0962,                0.85041,                0.84938,                0.89484,                0.62761,                 1.0917,                0.84478,                 1.0571,             0.00016534,             0.00016534,             0.00016534
                     69,                 1.1348,                 1.1678,                 1.0865,                0.86303,                0.84651,                0.89465,                0.62381,                 1.0886,                0.85382,                 1.0582,             0.00016476,             0.00016476,             0.00016476
                     70,                 1.1541,                 1.1927,                 1.0965,                0.88062,                0.82959,                0.89572,                0.62512,                  1.087,                0.85171,                  1.056,             0.00016419,             0.00016419,             0.00016419
                     71,                 1.1515,                 1.1812,                 1.0947,                0.86131,                0.84458,                0.89597,                0.62937,                 1.0828,                0.84378,                  1.055,             0.00016361,             0.00016361,             0.00016361
                     72,                 1.1486,                 1.1923,                 1.0918,                0.84947,                0.83783,                0.89282,                0.62367,                 1.0877,                 0.8629,                 1.0525,             0.00016303,             0.00016303,             0.00016303
                     73,                 1.1449,                 1.1679,                 1.0956,                0.86635,                0.84159,                0.89412,                0.62697,                 1.0827,                 0.8409,                 1.0514,             0.00016245,             0.00016245,             0.00016245
                     74,                 1.1356,                 1.1666,                 1.0896,                0.87746,                0.83877,                0.89593,                0.62531,                 1.0912,                0.84466,                 1.0599,             0.00016188,             0.00016188,             0.00016188
                     75,                  1.143,                 1.1785,                  1.087,                0.86701,                0.84882,                0.89836,                0.62711,                 1.0899,                0.83765,                 1.0541,              0.0001613,              0.0001613,              0.0001613
                     76,                 1.1307,                 1.1662,                 1.0838,                0.87391,                0.84765,                0.89752,                0.62699,                 1.0839,                0.84333,                 1.0582,             0.00016072,             0.00016072,             0.00016072
                     77,                 1.1307,                 1.1447,                 1.0757,                0.88876,                0.84701,                0.90351,                0.62735,                 1.0955,                0.85188,                 1.0601,             0.00016015,             0.00016015,             0.00016015
                     78,                 1.1069,                 1.1202,                 1.0744,                 0.8703,                0.85224,                 0.9002,                0.63172,                  1.082,                0.82568,                 1.0511,             0.00015957,             0.00015957,             0.00015957
                     79,                 1.1407,                 1.1512,                 1.0892,                0.86272,                0.85029,                0.90156,                0.62997,                  1.085,                0.84101,                 1.0574,             0.00015899,             0.00015899,             0.00015899
                     80,                 1.1489,                 1.1646,                 1.0817,                0.85728,                0.86483,                0.90146,                0.63061,                 1.0985,                 0.8344,                 1.0526,             0.00015841,             0.00015841,             0.00015841
                     81,                  1.107,                  1.128,                 1.0756,                0.87909,                0.85129,                0.90615,                0.63804,                 1.0776,                 0.8187,                 1.0534,             0.00015784,             0.00015784,             0.00015784
                     82,                 1.1368,                 1.1345,                 1.0861,                0.87853,                0.85395,                0.90254,                0.63247,                 1.0824,                0.82828,                 1.0621,             0.00015726,             0.00015726,             0.00015726
                     83,                  1.111,                 1.1111,                 1.0756,                 0.8758,                0.83693,                 0.9035,                0.63302,                 1.0805,                0.82145,                 1.0552,             0.00015668,             0.00015668,             0.00015668
                     84,                  1.112,                 1.1178,                 1.0786,                0.87873,                0.84284,                0.90612,                0.63417,                 1.0801,                 0.8168,                 1.0519,             0.00015611,             0.00015611,             0.00015611
                     85,                 1.1126,                 1.1228,                 1.0839,                0.88969,                0.84133,                0.90464,                0.63419,                 1.0865,                0.82058,                 1.0613,             0.00015553,             0.00015553,             0.00015553
                     86,                  1.115,                 1.1109,                 1.0733,                0.87371,                0.85358,                0.90664,                0.63372,                 1.0824,                0.81492,                  1.051,             0.00015495,             0.00015495,             0.00015495
                     87,                 1.1136,                 1.1156,                 1.0785,                0.88153,                0.86181,                0.90781,                0.63804,                 1.0747,                0.83192,                 1.0568,             0.00015438,             0.00015438,             0.00015438
                     88,                 1.1219,                 1.1148,                 1.0724,                0.88176,                0.86323,                0.90661,                0.63678,                 1.0785,                0.80495,                  1.047,              0.0001538,              0.0001538,              0.0001538
                     89,                 1.1224,                 1.1148,                 1.0755,                0.88415,                 0.8636,                  0.908,                 0.6394,                 1.0732,                 0.8138,                 1.0547,             0.00015322,             0.00015322,             0.00015322
                     90,                 1.1238,                 1.1116,                 1.0846,                0.88051,                 0.8575,                0.90423,                0.63333,                 1.0855,                0.80962,                 1.0535,             0.00015264,             0.00015264,             0.00015264
                     91,                 1.1199,                 1.0863,                 1.0727,                0.87042,                 0.8575,                0.90592,                0.63815,                 1.0811,                0.81859,                 1.0549,             0.00015207,             0.00015207,             0.00015207
